Año,Mes,CODMES,CODIGO DEL CLIENTE,MONEDA,FECHA_PAGO,CANAL,MEDIO,Volumen en soles,Volumen,Transacciones,Ganancias,ESTADOEMPRESA,MODALIDAD,CODSECTORISTA,ENCARGADO,BANCA,ZONAL,DEPARTAMENTO,NOMBRE_COMPLETO,RUBRO,SERVICIO
2020,NOV,202011,11111212012,MN,11/11/2020,Internet,medio_1,14055,14055,3,0,ACTIVO,Remota,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_1
2020,NOV,202011,11111212013,MN,16/11/2020,Internet,medio_1,30000,30000,3,0,ACTIVO,Normal,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_2
2020,NOV,202011,11111212013,MN,18/11/2020,Internet,medio_1,7740,7740,3,0,ACTIVO,Normal,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_2
2020,DIC,202012,11111212013,MN,09/12/2020,Internet,medio_1,30000,30000,3,0,ACTIVO,Remota,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_2
2020,DIC,202012,11111212013,MN,04/12/2020,Internet,medio_1,15000,15000,3,0,ACTIVO,Remota,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_2
2020,DIC,202012,11111212014,MN,02/12/2020,Internet,medio_1,27900,27900,3,0,ACTIVO,Remota,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_3
2020,DIC,202012,11111212014,MN,04/12/2020,Internet,medio_1,54459,54459,3,0,ACTIVO,Remota,00001,encargado_1,banca_1,,LIMA,cliente_1,SERVICIO PUBLICOS,servicio_3
2020,NOV,202011,11111213512,MN,13/11/2020,Internet,medio_3,6,6,3,0,ACTIVO,Remota,00002,encargado_2,banca_1,,LIMA,cliente_2,SERVICIO PUBLICOS,servicio_1
2020,NOV,202011,11111213712,MN,13/11/2020,Internet,medio_3,6,6,3,0,ACTIVO,Remota,00003,encargado_3,banca_1,,PIURA,cliente_3,SERVICIO PUBLICOS,servicio_1
2020,NOV,202011,11111214112,MN,13/11/2020,Internet,medio_3,3,3,3,0,ACTIVO,Data Full,00004,encargado_4,banca_1,,LIMA,cliente_4,SERVICIO PUBLICOS,servicio_5
2020,NOV,202011,11111223812,MN,17/11/2020,Internet,medio_1,1560,1560,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,LIMA,cliente_5,SERVICIO PUBLICOS,servicio_6
2020,NOV,202011,11111234612,MN,28/11/2020,Internet,medio_1,2100,2100,3,0,ACTIVO,Normal,00006,encargado_6,banca_1,,HUANUCO,cliente_6,SERVICIO PUBLICOS,servicio_1
2020,DIC,202012,11111234612,MN,04/12/2020,Internet,medio_1,22650,22650,6,0,ACTIVO,Remota,00006,encargado_6,banca_1,,HUANUCO,cliente_6,SERVICIO PUBLICOS,servicio_1
2020,NOV,202011,11111240312,MN,27/11/2020,Internet,medio_1,600,600,3,0,ACTIVO,Normal,00007,encargado_7,banca_2,,LIMA,cliente_7,SERVICIO PUBLICOS,servicio_7
2020,NOV,202011,11111310412,MN,02/11/2020,Internet,medio_3,30000,30000,3,0,ACTIVO,Data Full,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,NOV,202011,11111310412,MN,27/11/2020,Ventanilla,medio_4,301974.6,301974.6,3,28,ACTIVO,Data Full,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,NOV,202011,11111310412,MN,04/11/2020,Internet,medio_3,9336,9336,3,0,ACTIVO,Data Full,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,NOV,202011,11111310412,MN,23/11/2020,Internet,medio_3,54000,54000,6,0,ACTIVO,Data Full,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,01/10/2020,Internet,medio_3,13290,13290,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,02/10/2020,Internet,medio_3,18300,18300,6,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,21/10/2020,Internet,medio_3,1230,1230,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,AGO,202008,11111310412,MN,10/08/2020,Ventanilla,medio_4,29378.3994,29378.3994,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,JUL,202007,11111310412,MN,23/07/2020,Ventanilla,medio_4,49820.097,49820.097,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,08/10/2020,Ventanilla,medio_4,15317.31,15317.31,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,12/10/2020,Internet,medio_3,152250,152250,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,13/10/2020,Ventanilla,medio_4,16981.38,16981.38,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,OCT,202010,11111310412,MN,05/10/2020,Internet,medio_3,46950,46950,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,SEP,202009,11111310412,MN,18/09/2020,Ventanilla,medio_4,91047,91047,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,SEP,202009,11111310412,MN,17/09/2020,Ventanilla,medio_4,182328.093,182328.093,6,56,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,SEP,202009,11111310412,MN,23/09/2020,Internet,medio_3,705,705,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,SEP,202009,11111310412,MN,18/09/2020,Internet,medio_3,59400,59400,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,SEP,202009,11111310412,MN,04/09/2020,Internet,medio_3,78600,78600,3,0,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
2020,MAY,202005,11111310412,MN,07/05/2020,Ventanilla,medio_4,47651.76,47651.76,3,28,ACTIVO,Normal,00005,encargado_5,banca_1,,CAJAMARCA,cliente_8,SERVICIO PUBLICOS,servicio_8
